SeqId,BubbleSortNComp,BubbleSortTns,InsertionSortNComp,InsertionSortTns,MergeSortNComp,MergeSortTns,QuickSortNComp,QuickSortTns,QuickSortRandomNComp,QuickSortRandomTns,
seq_400_54,79800,334900,38351,94300,2952,73400,3789,24900,3208,39700,
seq_400_55,79800,310000,40611,101800,2954,94700,3358,28000,3385,41300,
seq_400_56,79800,275000,40178,92900,2961,83800,3809,24500,3608,41200,
seq_400_57,79800,399500,41007,152900,2969,94100,3520,33600,3429,56500,
seq_400_58,79800,320100,40553,93200,2948,90000,3721,24700,3176,38800,
seq_400_59,79800,305100,39000,96000,2966,89500,3611,27900,3817,41000,
seq_400_60,79800,311000,42321,147000,2960,148600,3673,27200,3685,44700,
seq_400_61,79800,443700,40744,133000,2969,97000,3397,26900,3301,43100,
seq_400_62,79800,400900,39049,90700,2953,79600,3728,24700,3323,40800,
seq_400_63,79800,257000,37733,88000,2944,73900,3812,83700,3722,40000,
seq_400_64,79800,364600,39188,135400,2969,115200,3586,50500,3504,61200,
seq_400_65,79800,313600,41948,96900,2973,74100,3516,26500,3205,40100,
seq_400_66,79800,296600,40247,148000,2964,84200,3899,46600,3290,49700,
seq_400_67,79800,275400,39425,102000,2961,110000,3644,34400,3408,45600,
seq_400_68,79800,385700,41330,95600,2957,115100,3886,46600,3371,50300,
seq_400_69,79800,331000,39875,111800,2969,74600,3687,24800,2929,39800,
seq_400_70,79800,276600,40153,92900,2956,57000,3712,24200,3384,40700,
seq_400_71,79800,271200,40277,93000,2939,56900,3457,29300,3158,40200,
seq_400_72,79800,386500,41150,140300,2970,182800,3947,93300,3488,60700,
seq_400_73,79800,347900,39998,154400,2954,85200,3947,44800,3373,67600,
seq_400_74,79800,266400,40424,109300,2936,62000,3550,29600,3409,47800,
seq_400_75,79800,290900,40121,102700,2956,73900,3520,30500,3055,54300,
seq_400_76,79800,703800,39441,145100,2957,97200,3684,36000,3356,62600,
seq_400_77,79800,299600,38370,90600,2955,120800,4025,34700,3243,58000,
seq_400_78,79800,485800,40127,642700,2976,193200,3830,35000,3460,56100,
seq_400_79,79800,373100,40224,135500,2961,182900,3792,31100,3248,45300,
seq_400_80,79800,296700,39338,92600,2954,76000,3596,26000,3510,42200,
seq_400_81,79800,306000,41081,94200,2980,72900,3235,24300,3321,48500,
seq_400_82,79800,304700,39766,124100,2973,76800,3460,25700,3725,41100,
seq_400_83,79800,378600,39025,157100,2952,103200,3763,42500,3205,41500,
seq_400_84,79800,337500,40843,161800,2956,134100,3512,44000,3302,52300,
seq_400_85,79800,327400,41893,140700,2950,123200,3468,36500,3127,70900,
seq_400_86,79800,451200,39197,181700,2962,92400,3208,31300,3184,73600,
seq_400_87,79800,334700,40973,108000,2966,60100,3635,39800,3165,53500,
seq_400_88,79800,312000,40942,96200,2954,58900,3973,24900,3198,38500,
seq_400_89,79800,473000,38916,140800,2982,86100,3447,31400,3218,53400,
seq_400_90,79800,449500,39305,222100,2949,100000,3520,36600,3403,59100,
seq_400_91,79800,861600,41274,237800,2971,169700,3822,44700,3405,66000,
seq_400_92,79800,317200,40990,100800,2939,58400,3286,25400,3044,38300,
seq_400_93,79800,370900,41557,96100,2952,69000,3732,25900,3205,39300,
seq_400_94,79800,277200,42138,97200,2955,56700,3745,25200,3164,41100,
seq_400_95,79800,257300,40638,93100,2978,55600,4237,25800,3757,52400,
seq_400_96,79800,351400,41662,100200,2970,60700,3797,25300,3558,52700,
seq_400_97,79800,520400,40197,134400,2964,56600,3769,37600,3289,126700,
seq_400_98,79800,309900,39201,91300,2960,61400,3705,42500,3494,51600,
seq_400_99,79800,443300,39880,191000,2954,89100,3328,35800,3560,65500,
seq_450_0,101025,560800,52153,277000,3404,109600,4428,41100,3817,67900,
seq_450_1,101025,596900,51732,123400,3423,66600,4640,29900,4169,46700,
seq_450_2,101025,354500,50783,116800,3423,63300,4226,28100,3938,46500,
seq_450_3,101025,507800,51009,178400,3395,75300,4284,31900,3808,75500,
seq_450_4,101025,424500,50512,117600,3406,67200,4083,32300,3727,50600,
seq_450_5,101025,381200,52010,121000,3403,63600,4306,28900,3685,44000,
seq_450_6,101025,392300,49772,118800,3418,63700,4531,27500,3978,47100,
seq_450_7,101025,395300,48061,109800,3410,62300,4366,27500,4011,45700,
seq_450_8,101025,480600,53531,130400,3399,80900,4565,28000,3726,47700,
seq_450_9,101025,389000,51716,118100,3403,70400,4139,28500,3993,46600,
seq_450_10,101025,980600,51034,332500,3415,94700,3824,37600,3997,83500,
seq_450_11,101025,418900,50963,121800,3397,65700,4102,31800,4218,51100,
seq_450_12,101025,447000,53172,163000,3378,79100,4168,34800,3564,58500,
seq_450_13,101025,365600,51357,117300,3403,65100,4165,28800,3870,45000,
seq_450_14,101025,397300,50046,115000,3390,61500,4003,31800,4069,45000,
seq_450_15,101025,421200,52754,134400,3425,70100,4045,29500,3986,51400,
seq_450_16,101025,455400,50258,115600,3414,63500,4102,28100,3633,45500,
seq_450_17,101025,605400,52154,237900,3402,105000,4059,50500,3720,92300,
seq_450_18,101025,363200,49883,142100,3392,91400,4138,36600,3998,60200,
seq_450_19,101025,420500,49221,113200,3403,64300,4058,29200,3829,46900,
seq_450_20,101025,391200,50242,115500,3391,64700,4087,28000,4057,44300,
seq_450_21,101025,346200,50054,113900,3398,61600,4528,27900,4314,45600,
seq_450_22,101025,361600,51568,117600,3410,63900,3996,27800,4184,45600,
seq_450_23,101025,566800,49582,298200,3401,108200,4380,45500,3545,69500,
seq_450_24,101025,378800,53600,164300,3399,103900,3847,37600,4023,61500,
seq_450_25,101025,382900,49706,137800,3417,65400,4999,27700,3823,48000,
seq_450_26,101025,385900,49299,115400,3422,72600,4312,28500,3841,45500,
seq_450_27,101025,376300,53076,121100,3396,66200,3974,35500,3482,47400,
seq_450_28,101025,375100,53148,121200,3390,67600,4310,28100,3970,47700,
seq_450_29,101025,435000,51444,119700,3391,65500,4163,29200,3973,45100,
seq_450_30,101025,517200,49986,229300,3400,132200,3696,46900,4137,84300,
seq_450_31,101025,376400,51753,120200,3413,72300,4142,29100,3785,51300,
seq_450_32,101025,352600,51642,118500,3405,63000,4673,28900,3735,43900,
seq_450_33,101025,364900,52161,128400,3413,63000,4010,27100,3720,44100,
seq_450_34,101025,366400,51077,140400,3402,67300,4060,28600,4240,56400,
seq_450_35,101025,386800,51304,123800,3408,61200,4353,27800,4170,45800,
seq_450_36,101025,366600,52545,128300,3410,60200,4079,28000,3877,47500,
seq_450_37,101025,374400,51406,117900,3411,63400,3968,27600,3865,43300,
seq_450_38,101025,424500,50602,116700,3417,63600,4244,29200,3848,47600,
seq_450_39,101025,398000,53177,124100,3404,93100,4027,29900,4081,47100,
seq_450_40,101025,365600,50872,118200,3401,63300,4299,26700,4272,40100,
seq_450_41,101025,349900,52390,107400,3410,56100,4931,26600,4003,38700,
seq_450_42,101025,372200,51525,118200,3382,62600,4788,34900,4325,47500,
seq_450_43,101025,470200,51348,114100,3399,57500,4102,29800,3733,44300,
seq_450_44,101025,375700,48521,98700,3418,62900,3815,27600,3699,45500,
seq_450_45,101025,340900,50880,159000,3430,78700,4104,28400,4139,59200,
seq_450_46,101025,426600,49937,136400,3423,66700,4169,33900,3582,65700,
seq_450_47,101025,328600,52513,120700,3383,56800,3965,25800,3982,39500,
seq_450_48,101025,407200,50453,134900,3408,75800,4290,25200,3980,42300,
seq_450_49,101025,357100,50592,105200,3416,56300,4187,25700,3576,39100,
seq_450_50,101025,553400,49870,142800,3409,79800,4397,48800,3511,55800,
seq_450_51,101025,380900,52177,116100,3427,67000,4287,26700,4356,38000,
seq_450_52,101025,356400,50675,110800,3420,57400,4401,24800,4066,48300,
seq_450_53,101025,414300,46398,150200,3396,107200,4249,38500,3974,60800,
seq_450_54,101025,460000,53519,153500,3403,80600,4524,35600,4291,57200,
seq_450_55,101025,405100,48252,138200,3397,79400,3830,34400,3756,55400,
seq_450_56,101025,515000,50369,150800,3400,119300,4006,56000,3824,81000,
seq_450_57,101025,451300,49682,149000,3411,80900,4048,34100,3929,58300,
seq_450_58,101025,440300,49199,146600,3383,80100,4005,35400,3810,57300,
seq_450_59,101025,401800,50604,134300,3405,70500,5068,35600,4180,47500,
seq_450_60,101025,485300,51314,146400,3387,80700,4619,36400,4118,58700,
seq_450_61,101025,414800,52200,277200,3422,110200,3980,45200,3689,57100,
seq_450_62,101025,490800,53021,151400,3401,89000,4925,37600,3633,58000,
seq_450_63,101025,659200,50799,128700,3402,65600,3810,28000,3895,46500,
seq_450_64,101025,502800,50393,117700,3419,84000,3940,32300,3857,48700,
seq_450_65,101025,661100,51172,199500,3392,87900,4176,36600,3833,62500,
seq_450_66,101025,639600,47627,238300,3395,118500,4404,48400,4030,85800,
seq_450_67,101025,699800,53802,165500,3420,91700,3990,32100,4146,58700,
seq_450_68,101025,389400,50218,177900,3427,86300,4252,35400,3699,51600,
seq_450_69,101025,478900,52397,149500,3404,77800,4095,30800,3615,55800,
seq_450_70,101025,593900,51088,208200,3392,94900,4423,34500,4389,64600,
seq_450_71,101025,570600,51280,196600,3408,131300,4115,51400,3922,105600,
seq_450_72,101025,507600,49845,209000,3377,98600,4363,46500,3968,82800,
seq_450_73,101025,420700,51792,202000,3424,91600,4120,35900,4203,78100,
seq_450_74,101025,424700,50916,123600,3402,66400,4759,30200,4030,49800,
seq_450_75,101025,659400,50110,155900,3407,81600,4083,33600,3865,64900,
seq_450_76,101025,801200,52844,213300,3412,223900,3902,40600,3928,81000,
seq_450_77,101025,404800,48139,110200,3411,69800,4158,29400,4204,45800,
seq_450_78,101025,410800,52545,126200,3408,67800,4289,29900,3676,45600,
seq_450_79,101025,379100,53845,122100,3399,62600,4602,28600,3433,45100,
seq_450_80,101025,381800,49874,123300,3415,65900,3888,28200,3777,45800,
seq_450_81,101025,413100,52983,121700,3388,66200,3894,28600,3946,46300,
seq_450_82,101025,466800,50812,119000,3416,73800,4055,28900,3860,49500,
seq_450_83,101025,623600,52654,163400,3408,87400,4156,34700,3775,56000,
seq_450_84,101025,384000,51393,118500,3421,65200,3932,29500,4679,53400,
seq_450_85,101025,332200,53063,120800,3408,64600,4885,28400,3578,45200,
seq_450_86,101025,386800,53300,121300,3416,73600,4081,34500,4060,46300,
seq_450_87,101025,369700,48876,102600,3415,56900,4134,23400,3499,40600,
seq_450_88,101025,353500,50801,136100,3401,62200,4379,27800,3804,45000,
seq_450_89,101025,429400,52106,425700,3411,158000,4684,78100,3788,64600,
seq_450_90,101025,375500,47872,146600,3405,74900,3958,25500,3705,40500,
seq_450_91,101025,356300,49920,107100,3417,59100,4520,26500,4385,45500,
seq_450_92,101025,337900,50607,102800,3417,64800,4147,24300,3897,38700,
seq_450_93,101025,372700,49426,113900,3431,61500,3874,27300,3814,43000,
seq_450_94,101025,325600,49961,101500,3403,55800,4448,24300,3699,42200,
seq_450_95,101025,349700,51191,110000,3414,55100,4328,25500,4029,41200,
seq_450_96,101025,374500,51291,110600,3405,55400,3944,24500,4591,41000,
seq_450_97,101025,630700,54081,197000,3393,105500,3931,36600,3806,62200,
seq_450_98,101025,368400,48197,106400,3396,61200,4123,28100,3939,45500,
seq_450_99,101025,343100,50764,103900,3415,54800,3931,24600,3974,39700,
seq_500_0,124750,466400,63032,127200,3858,72400,4765,27300,4500,46800,
seq_500_1,124750,428800,62156,143900,3855,78600,4967,28300,4151,47600,
seq_500_2,124750,438800,61391,126800,3869,63900,4736,27500,4234,46300,
seq_500_3,124750,606900,66082,250300,3860,107100,4453,40400,4268,82500,
seq_500_4,124750,638600,64829,274700,3861,92600,4775,40700,4803,63800,
seq_500_5,124750,463700,65219,157700,3867,73200,4308,33600,4508,57900,
seq_500_6,124750,443500,65154,132800,3837,64500,4776,28200,4116,47000,
seq_500_7,124750,480700,64578,177400,3858,66700,4818,29800,4549,53700,
seq_500_8,124750,424000,61199,128000,3852,63400,4974,31000,3956,45600,
seq_500_9,124750,540800,61022,174400,3863,97700,4395,39600,4654,82100,
seq_500_10,124750,451800,64774,174300,3845,104500,4427,40600,4124,59100,
seq_500_11,124750,438300,59394,122700,3858,61700,5375,28800,5053,45200,
seq_500_12,124750,468600,62002,135000,3828,64000,4962,29400,4431,50600,
seq_500_13,124750,523700,66147,159600,3859,84000,4538,32900,4478,49800,
seq_500_14,124750,475800,60581,127300,3867,60600,4785,28100,5090,45200,
seq_500_15,124750,595900,64995,148900,3837,90400,4513,31900,4283,68000,
seq_500_16,124750,580800,61542,146300,3849,74500,4743,35400,4310,58200,
seq_500_17,124750,700200,64658,188800,3846,93800,4674,39600,4428,65300,
seq_500_18,124750,460900,66030,147800,3858,69100,4682,30900,5229,50300,
seq_500_19,124750,531400,60942,133300,3874,66300,4719,32500,4190,65000,
seq_500_20,124750,533800,61944,183400,3866,93500,4883,39600,3993,67900,
seq_500_21,124750,924100,64981,273700,3863,137600,4863,49900,4042,74600,
seq_500_22,124750,519500,62936,142400,3870,95100,4752,32800,4196,52400,
seq_500_23,124750,440300,62023,134300,3862,66000,4761,27800,4349,45300,
seq_500_24,124750,517900,58768,136100,3857,66400,4649,28000,4439,45300,
seq_500_25,124750,419700,65469,145900,3850,118900,4427,39500,4065,68400,
seq_500_26,124750,484800,65209,135700,3869,66300,4896,28000,4423,44500,
seq_500_27,124750,584200,64063,196000,3846,90500,4474,34300,4775,59300,
seq_500_28,124750,511000,64029,247500,3842,103500,5715,43300,4444,67100,
seq_500_29,124750,472700,63704,145900,3846,62400,4551,27800,4341,45800,
seq_500_30,124750,622800,63614,192500,3854,92000,4599,40200,4255,64000,
seq_500_31,124750,433000,63868,145000,3834,68900,5040,27800,4409,44000,
seq_500_32,124750,486000,65191,147600,3854,72100,4654,36300,4193,50600,
seq_500_33,124750,765100,63807,289400,3840,137700,4821,56400,4832,93700,
seq_500_34,124750,582800,61379,178500,3858,113300,4760,46900,4574,67100,
seq_500_35,124750,640100,62014,134900,3838,63400,4650,28600,4382,58800,
seq_500_36,124750,487800,61306,140400,3844,71900,4910,30600,4025,51400,
seq_500_37,124750,502800,61692,154000,3866,82300,4413,40400,4484,58700,
seq_500_38,124750,603600,61012,162700,3851,93100,4997,43600,4247,56900,
seq_500_39,124750,475500,63061,144400,3874,86600,4460,38600,4330,61900,
seq_500_40,124750,480200,63053,144400,3846,74300,4234,52400,4441,52900,
seq_500_41,124750,532800,61816,136000,3866,67800,4681,29200,4111,49800,
seq_500_42,124750,617800,63834,181800,3861,90300,5659,41100,4636,63600,
seq_500_43,124750,605600,62196,142500,3847,65600,5048,28800,4262,43200,
seq_500_44,124750,601500,58436,169200,3858,99500,4435,39700,4325,66800,
seq_500_45,124750,568900,65485,195900,3863,96000,4709,43500,4258,68700,
seq_500_46,124750,411500,65227,149100,3856,88900,5015,31200,4716,51900,
seq_500_47,124750,470300,61753,142800,3873,94700,4887,32100,3955,62400,
seq_500_48,124750,544600,59103,139600,3865,63400,4853,28500,4150,43300,
seq_500_49,124750,391200,59938,138300,3851,71800,4537,31000,4334,49500,
seq_500_50,124750,405400,64606,140000,3855,69300,4349,34700,4679,65800,
seq_500_51,124750,572200,60159,170600,3852,103800,4450,40400,4247,62200,
seq_500_52,124750,469000,65423,152100,3846,73600,4874,41400,4143,52300,
seq_500_53,124750,487000,63715,135000,3880,64500,5407,28400,4311,47200,
seq_500_54,124750,544700,58796,162900,3836,96000,4763,38700,4170,72700,
seq_500_55,124750,548500,59762,169000,3865,64500,4573,28700,4373,43500,
seq_500_56,124750,502200,58755,140000,3851,87900,4513,32200,4430,51100,
seq_500_57,124750,515700,63033,164600,3862,103000,4601,34800,4569,58100,
seq_500_58,124750,472100,63060,144400,3859,131500,4839,34400,4280,52600,
seq_500_59,124750,497000,61483,141600,3811,69000,4753,31600,4252,52900,
seq_500_60,124750,475700,62620,126700,3892,74700,4733,27900,4664,47100,
seq_500_61,124750,442100,61830,131300,3873,64500,4654,28500,3975,45300,
seq_500_62,124750,507800,61686,140800,3855,70200,4893,35100,4743,50100,
seq_500_63,124750,480300,58930,155700,3843,153800,4812,38900,4494,60400,
seq_500_64,124750,529200,63146,212300,3830,159600,4394,42200,4330,141200,
seq_500_65,124750,509800,64123,162500,3824,80200,4680,35300,4510,62400,
seq_500_66,124750,505200,66223,151600,3843,68900,4746,30400,4703,51400,
seq_500_67,124750,484200,59281,136100,3867,74600,4681,30400,4784,50800,
seq_500_68,124750,574500,59810,189700,3825,77400,4413,31100,4478,50800,
seq_500_69,124750,409600,64730,132200,3837,64700,5771,28800,4529,43900,
seq_500_70,124750,475100,62692,126600,3855,65000,4564,27600,4047,43400,
seq_500_71,124750,510800,66228,132200,3846,73600,4928,27600,4428,46100,
seq_500_72,124750,528200,59929,143800,3852,66200,4876,31600,4410,49300,
seq_500_73,124750,542000,65465,150900,3849,64500,5313,32300,4252,50800,
seq_500_74,124750,637100,63348,156700,3838,93500,5511,42300,3881,81500,
seq_500_75,124750,450900,69672,164000,3860,87500,4781,32300,4612,57600,
seq_500_76,124750,482000,67636,146500,3844,69100,4579,29500,5208,50500,
seq_500_77,124750,401400,60368,135100,3853,64300,4421,27300,3865,46600,
seq_500_78,124750,415300,63087,132900,3863,63800,5047,28800,4398,46200,
seq_500_79,124750,543100,61526,129000,3850,65200,4738,28200,4351,45400,
seq_500_80,124750,476700,62893,212800,3865,545900,5139,38700,4916,54600,
seq_500_81,124750,450900,61399,207700,3834,85500,5069,31500,4460,50900,
seq_500_82,124750,595800,62841,144800,3841,72600,5936,33700,4301,48500,
seq_500_83,124750,561600,63612,159900,3847,74300,4716,28200,4250,44400,
seq_500_84,124750,457600,62314,137900,3843,70800,5097,30200,4479,58100,
seq_500_85,124750,441200,62745,143500,3834,67400,5591,33300,4804,43600,
seq_500_86,124750,537100,58096,135100,3850,77000,4463,39900,4592,52400,
seq_500_87,124750,504800,63946,211600,3853,109200,4746,54800,4475,75200,
seq_500_88,124750,436100,64276,155800,3856,75100,4876,30400,4624,47800,
seq_500_89,124750,411900,65394,146600,3866,73600,5091,33700,4598,51800,
seq_500_90,124750,876700,63782,242100,3854,104600,4748,54000,4187,60000,
seq_500_91,124750,780400,60728,124500,3856,101400,4631,32800,4432,55800,
seq_500_92,124750,718000,63173,456600,3848,149600,5393,55800,4071,162400,
seq_500_93,124750,624800,64281,148700,3854,91100,5082,34300,4319,52500,
seq_500_94,124750,927900,63164,234000,3859,90300,4871,36700,4600,132900,
seq_500_95,124750,464500,60630,140200,3852,64300,4786,28600,4629,45200,
seq_500_96,124750,559800,60469,133500,3865,65700,4588,27100,4887,44300,
seq_500_97,124750,617900,63826,214300,3855,108000,4501,40800,4442,77000,
seq_500_98,124750,682900,62516,226700,3866,88700,5126,33600,4466,57300,
seq_500_99,124750,668200,59353,136200,3844,87800,5415,38600,4344,74900,
seq_550_0,150975,595400,75226,172300,4321,98800,5210,36400,4571,78000,
seq_550_1,150975,507900,76111,150400,4315,78400,5873,31000,5272,50100,
seq_550_2,150975,714300,77412,329200,4307,84500,5733,39900,5032,60100,
seq_550_3,150975,614200,72885,170900,4309,86300,5338,37200,4570,57100,
seq_550_4,150975,533500,76725,156000,4330,73000,5453,32500,4782,52500,
seq_550_5,150975,617000,71706,164500,4334,79300,5540,38500,4745,58500,
seq_550_6,150975,520800,71994,159700,4318,72700,5025,30400,4637,51400,
seq_550_7,150975,592800,75013,201600,4324,135200,5473,43400,5242,58700,
seq_550_8,150975,730700,75811,229800,4305,100100,5157,36900,5320,60300,
seq_550_9,150975,650700,76380,155600,4336,73600,5556,31900,5021,51700,
seq_550_10,150975,606000,76813,187400,4300,128400,4897,53600,4652,59500,
seq_550_11,150975,502700,78187,157000,4329,72100,5576,30400,4797,55500,
seq_550_12,150975,629000,78559,199600,4311,102000,4853,35300,4626,59100,
seq_550_13,150975,628700,77052,174700,4328,81700,5118,44400,5063,60200,
seq_550_14,150975,559100,76829,168200,4306,79500,5021,35100,5162,58700,
seq_550_15,150975,562200,76719,172100,4291,80800,5077,35400,4926,52200,
seq_550_16,150975,592900,72992,178100,4326,74300,6598,31400,4969,49700,
seq_550_17,150975,510800,74829,166400,4307,97800,5239,36000,4767,66500,
seq_550_18,150975,674000,76426,183400,4322,164600,4837,41300,5071,62800,
seq_550_19,150975,695400,75790,320800,4341,98600,5073,37400,4752,54800,
seq_550_20,150975,577900,75987,196400,4332,84200,5191,35300,4988,61900,
seq_550_21,150975,560800,73372,169200,4323,116000,4811,36800,4586,56900,
seq_550_22,150975,558000,78195,158900,4315,81100,5735,32400,5508,47900,
seq_550_23,150975,856800,75035,324000,4317,155100,5021,185800,4846,98900,
seq_550_24,150975,700300,75049,168100,4322,78600,5463,32600,4639,58200,
seq_550_25,150975,589600,75325,153600,4307,86400,5187,31400,4975,51400,
seq_550_26,150975,553300,80167,180500,4317,71000,5018,30800,4869,51300,
seq_550_27,150975,638300,75198,182900,4325,82300,5765,35500,6110,59100,
seq_550_28,150975,836300,75240,340400,4324,177000,5615,42100,5299,95800,
seq_550_29,150975,557500,75592,152000,4319,71900,5075,32200,4942,53300,
seq_550_30,150975,516100,79283,157500,4302,72000,5187,30100,4849,48700,
seq_550_31,150975,623300,75758,162800,4318,75100,5158,32300,5214,48500,
seq_550_32,150975,545000,75798,166200,4327,77600,5726,34300,4677,53500,
seq_550_33,150975,559600,72750,185300,4318,92600,5328,35700,4906,78600,
seq_550_34,150975,769000,78070,250500,4321,108900,5336,35900,5073,56400,
seq_550_35,150975,535900,77423,164800,4327,81000,5532,32200,5098,50800,
seq_550_36,150975,522000,73648,160000,4335,78100,6073,34800,4983,54500,
seq_550_37,150975,570500,74262,148100,4334,76400,5005,31000,4944,49600,
seq_550_38,150975,555200,77240,167300,4313,73500,5270,32100,5187,51900,
seq_550_39,150975,745500,75676,191600,4307,101100,5028,75000,4844,57900,
seq_550_40,150975,557100,73688,181500,4322,117900,4901,36200,4837,58100,
seq_550_41,150975,641800,75394,177300,4330,76900,5681,32500,4853,48300,
seq_550_42,150975,628000,76514,172500,4344,77300,5029,31800,5089,49400,
seq_550_43,150975,619100,78973,180000,4328,87100,5490,33800,4923,61600,
seq_550_44,150975,618900,75075,194700,4306,124400,5322,44000,4822,73800,
seq_550_45,150975,634900,77505,160400,4347,79500,5453,31900,5049,58700,
seq_550_46,150975,597700,74038,172400,4311,98100,4793,31800,4677,57800,
seq_550_47,150975,562100,75969,165400,4321,79000,5011,34500,5160,55000,
seq_550_48,150975,634300,77440,179600,4313,83500,5450,35500,5736,58200,
seq_550_49,150975,725800,79620,223800,4330,116700,6038,36100,5286,65600,
seq_550_50,150975,616300,75487,237900,4320,126800,5857,43500,5267,94800,
seq_550_51,150975,591000,76855,165500,4326,73900,4983,32100,5285,51100,
seq_550_52,150975,541800,76704,161400,4303,73600,5543,33100,4522,49300,
seq_550_53,150975,614700,69895,168200,4304,83900,5086,36100,4589,58900,
seq_550_54,150975,578700,72417,165600,4321,86200,5360,35800,4827,68100,
seq_550_55,150975,685600,72822,176700,4363,113800,5189,48600,5015,78100,
seq_550_56,150975,598300,80081,177100,4306,71100,6087,31300,4775,59800,
seq_550_57,150975,570200,77015,164000,4307,74100,6037,32200,4943,59600,
seq_550_58,150975,561200,77311,161000,4329,73900,5253,30700,4883,54400,
seq_550_59,150975,575200,75782,152300,4323,75900,5579,30300,4941,50200,
seq_550_60,150975,636700,77498,190500,4327,92600,5663,96700,4853,88400,
seq_550_61,150975,621200,78313,201100,4333,95400,5107,35400,4937,77500,
seq_550_62,150975,599900,77793,176500,4312,82900,5118,40100,4911,57500,
seq_550_63,150975,689100,75262,179600,4309,99600,5420,35200,4464,62000,
seq_550_64,150975,785200,73150,162800,4329,73400,5369,31800,5008,52300,
seq_550_65,150975,640700,75052,170500,4302,93900,5537,46600,5169,58700,
seq_550_66,150975,660100,80467,203500,4333,93700,5234,45100,4939,69700,
seq_550_67,150975,554900,79705,162200,4326,73900,5033,32100,4853,50100,
seq_550_68,150975,604600,78446,155000,4328,78700,5735,32500,4836,48600,
seq_550_69,150975,934600,77919,234900,4331,82900,5763,34200,4817,53800,
seq_550_70,150975,589100,75611,163200,4335,74900,4948,30700,4387,51300,
seq_550_71,150975,855000,77721,252400,4308,89600,5968,37200,5012,72700,
seq_550_72,150975,824400,75886,300600,4318,124500,5327,59700,4831,99300,
seq_550_73,150975,616900,73417,157000,4329,73000,5144,36200,5483,56900,
seq_550_74,150975,519800,78570,180100,4329,89600,5873,36400,4737,76600,
seq_550_75,150975,563400,73569,156000,4334,81200,5861,32300,4833,50000,
seq_550_76,150975,859700,78904,351200,4331,108000,5321,43100,4800,71300,
seq_550_77,150975,562000,76373,155300,4323,75300,5237,33800,4873,51100,
seq_550_78,150975,677100,74187,176000,4295,87200,5622,38600,5865,57600,
seq_550_79,150975,631800,77356,164300,4311,77200,5533,35000,4603,50000,
seq_550_80,150975,527800,75189,151400,4321,80000,5961,32400,5368,52300,
seq_550_81,150975,521500,75726,172500,4315,100700,5332,52400,4810,59500,
seq_550_82,150975,676900,76574,164100,4314,86400,5146,42400,5399,57600,
seq_550_83,150975,568200,76181,158600,4318,73800,4907,31700,4537,50900,
seq_550_84,150975,701700,77253,183700,4330,99100,5664,30700,5065,50700,
seq_550_85,150975,537400,74614,151900,4312,72400,6612,31900,4779,49300,
seq_550_86,150975,543700,79469,157900,4313,77400,5159,31200,4791,49600,
seq_550_87,150975,644000,75195,191100,4311,89700,5251,37200,5023,59400,
seq_550_88,150975,552000,76511,161800,4338,74500,5334,31800,4518,53500,
seq_550_89,150975,590100,80043,171400,4320,73600,5197,32200,4638,58400,
seq_550_90,150975,519700,76112,154700,4323,74100,5268,31700,5080,49000,
seq_550_91,150975,565600,78784,160100,4345,77800,5731,32200,4941,49600,
seq_550_92,150975,567200,73882,169000,4306,103900,5622,37200,4887,56500,
seq_550_93,150975,631200,74106,170200,4334,108000,5461,38100,4892,51500,
seq_550_94,150975,615700,72279,157600,4314,72900,6250,31900,4417,51200,
seq_550_95,150975,568300,75691,172600,4303,77500,5378,31700,4792,49200,
seq_550_96,150975,577500,76626,179200,4336,77400,5675,32300,5098,53900,
seq_550_97,150975,523400,74530,151700,4342,102700,5397,35800,4817,54600,
seq_550_98,150975,562000,76836,174900,4316,94800,5550,40500,4953,68700,
seq_550_99,150975,705500,77856,180000,4307,86200,5708,38400,4928,58000,
seq_600_0,179700,799700,90769,206700,4797,92000,5605,39800,5176,64600,
seq_600_1,179700,1095400,88697,250900,4804,124100,6475,58900,5133,64700,
seq_600_2,179700,858800,91847,235500,4790,127000,5750,40200,5956,70900,
seq_600_3,179700,999600,87523,350700,4797,137700,5982,41400,5470,65300,
seq_600_4,179700,737700,91841,284700,4826,174800,6501,51700,5576,66700,
seq_600_5,179700,727500,88708,203200,4782,81500,6047,35500,5912,60400,
seq_600_6,179700,697900,87846,195700,4783,86900,5875,35500,5233,53400,
seq_600_7,179700,709600,89762,183300,4806,85900,5511,41200,6277,58200,
seq_600_8,179700,1008900,94081,478400,4760,104700,5699,44800,6047,71900,
seq_600_9,179700,686600,89698,184000,4796,81200,6194,35900,6093,62700,
seq_600_10,179700,1026600,89872,367000,4792,133000,5902,43100,5552,75100,
seq_600_11,179700,664300,93493,208300,4786,103200,5534,53800,5132,62800,
seq_600_12,179700,706600,91366,227500,4787,90700,6073,57000,5299,84200,
seq_600_13,179700,728600,91497,207800,4797,85900,5619,45800,5558,81100,
seq_600_14,179700,836500,90056,182500,4780,80700,5511,35600,5207,55600,
seq_600_15,179700,720300,91622,214200,4798,91400,6137,36800,5967,67700,
seq_600_16,179700,694900,86069,183000,4825,81600,6173,36000,6086,59600,
seq_600_17,179700,991200,91503,320100,4812,134700,5852,57400,5653,88400,
seq_600_18,179700,725500,89854,195200,4791,87800,5571,40600,5637,60600,
