SeqId,BubbleSortNComp,BubbleSortTns,InsertionSortNComp,InsertionSortTns,MergeSortNComp,MergeSortTns,QuickSortNComp,QuickSortTns,QuickSortRandomNComp,QuickSortRandomTns,
seq_250_14,31125,152200,15952,72700,1683,55100,2190,18000,1727,28800,
seq_250_15,31125,83900,15185,46800,1682,41800,1963,17100,1851,24000,
seq_250_16,31125,108700,15567,36900,1673,70000,2078,21000,1710,26500,
seq_250_17,31125,122100,14943,35400,1671,57200,2041,15000,1838,23300,
seq_250_18,31125,118800,16556,38900,1669,44100,1976,14800,2037,24100,
seq_250_19,31125,127700,15862,73200,1670,57100,1862,14500,1922,30300,
seq_250_20,31125,120600,15001,43500,1680,56300,2038,14300,2032,23200,
seq_250_21,31125,119700,14675,34600,1670,45400,2299,15300,2033,22300,
seq_250_22,31125,105100,15824,37900,1684,46300,2343,14200,1852,23900,
seq_250_23,31125,110700,14663,35100,1681,54200,2296,26600,1764,28000,
seq_250_24,31125,156600,15854,68900,1673,72200,2201,22200,1838,35500,
seq_250_25,31125,151400,14219,62000,1687,73100,2000,20700,1807,29600,
seq_250_26,31125,126200,15321,46500,1682,51500,1942,18400,1925,29100,
seq_250_27,31125,94700,15652,37500,1674,58800,1941,17100,1742,31200,
seq_250_28,31125,131800,16635,46000,1677,42600,2147,14900,1784,21600,
seq_250_29,31125,151800,15417,62300,1653,92000,2443,20000,1651,30500,
seq_250_30,31125,121900,16171,57400,1681,61900,2035,19400,1858,26500,
seq_250_31,31125,95000,16281,51100,1688,64100,2266,18900,1865,30400,
seq_250_32,31125,103000,16006,38400,1674,54600,2095,14900,1897,23300,
seq_250_33,31125,129200,16158,41000,1683,46600,2007,13600,1821,21000,
seq_250_34,31125,110900,15885,40400,1672,56900,2496,15600,2025,29900,
seq_250_35,31125,115600,15944,65800,1673,56000,1972,17200,1765,28100,
seq_250_36,31125,99600,15825,37900,1679,56800,1951,14900,2266,23800,
seq_250_37,31125,92900,14225,33100,1663,38400,2248,14000,1743,20800,
seq_250_38,31125,131900,15147,65000,1689,93400,1996,19300,1819,28300,
seq_250_39,31125,130800,16013,66900,1675,77400,1900,20900,1815,51300,
seq_250_40,31125,130500,15202,44700,1678,54000,1905,20600,1871,38200,
seq_250_41,31125,109100,15324,40900,1683,58800,2200,15200,1793,23200,
seq_250_42,31125,159000,15678,75600,1679,70700,1940,18400,1793,28800,
seq_250_43,31125,113700,15430,58500,1664,75300,2238,15000,1912,21800,
seq_250_44,31125,118900,16060,47600,1676,51500,1934,18200,1815,27000,
seq_250_45,31125,126900,15778,39000,1666,59600,1992,14300,1910,20200,
seq_250_46,31125,107200,15024,38700,1682,45300,2150,15300,1667,36100,
seq_250_47,31125,121200,14998,44600,1684,51200,2082,17700,1932,28800,
seq_250_48,31125,134100,15869,43400,1673,42400,1860,14400,1920,22800,
seq_250_49,31125,137200,15989,38100,1689,44000,2056,14700,1863,23900,
seq_250_50,31125,158100,16544,58300,1676,64700,2154,19400,1857,30600,
seq_250_51,31125,118800,16018,38200,1680,54500,2173,18000,1811,26700,
seq_250_52,31125,108600,15177,36300,1673,42200,1951,24700,1815,22000,
seq_250_53,31125,140500,15218,62000,1688,73300,2014,18600,2083,33000,
seq_250_54,31125,115900,15901,46700,1683,51500,2041,17300,1844,29500,
seq_250_55,31125,142200,16006,69500,1687,66300,2052,19000,1984,30400,
seq_250_56,31125,142000,14580,60700,1673,70000,2058,22600,1836,33500,
seq_250_57,31125,130000,15658,66400,1672,98800,1852,21100,1912,32500,
seq_250_58,31125,122000,15746,37700,1670,44900,1863,14400,1749,22500,
seq_250_59,31125,134000,16697,91600,1669,95900,2083,18500,1618,27000,
seq_250_60,31125,160800,15728,52300,1687,67100,2142,19600,1751,29200,
seq_250_61,31125,182400,16237,100900,1680,73100,2272,174300,2124,37900,
seq_250_62,31125,205200,15361,54700,1680,54600,2069,17400,1791,31300,
seq_250_63,31125,114700,16506,53100,1684,75500,1832,17900,1684,30700,
seq_250_64,31125,164100,16130,81700,1679,46100,2018,22800,1831,22400,
seq_250_65,31125,157800,15781,68600,1667,56800,2074,18600,1867,29100,
seq_250_66,31125,143100,16044,61400,1679,76500,2030,18500,2240,31700,
seq_250_67,31125,159300,16814,77500,1672,86100,2294,18900,2159,33800,
seq_250_68,31125,126400,15662,64200,1686,73200,2145,19200,1874,27600,
seq_250_69,31125,114500,15428,47000,1678,109500,2096,18900,1800,36200,
seq_250_70,31125,149900,16342,59100,1685,53900,2030,21200,1705,27500,
seq_250_71,31125,145100,16508,68700,1668,80300,1976,17900,1697,30500,
seq_250_72,31125,133200,15696,38800,1672,45100,2083,14800,1797,24500,
seq_250_73,31125,111100,15647,43700,1669,59700,2241,21800,1662,48300,
seq_250_74,31125,145500,16280,76800,1683,66600,1856,16500,1859,28000,
seq_250_75,31125,146800,15876,38500,1677,50300,2236,26000,1819,38700,
seq_250_76,31125,169800,16529,64600,1683,77700,2288,20000,1769,53100,
seq_250_77,31125,122300,15646,46900,1665,104300,1972,18600,1979,29800,
seq_250_78,31125,119300,16111,60000,1671,61800,1980,19600,1759,28200,
seq_250_79,31125,281300,14650,63700,1669,91700,2435,15800,1722,23700,
seq_250_80,31125,137300,15901,44200,1687,56600,2003,17300,2035,27100,
seq_250_81,31125,150400,15399,68300,1691,90800,1782,20100,2032,35000,
seq_250_82,31125,128600,16394,38700,1687,42000,2042,15200,1991,37400,
seq_250_83,31125,127300,16147,39000,1674,44300,1960,15200,1903,24400,
seq_250_84,31125,138700,15585,59100,1682,63000,2069,19000,1970,27000,
seq_250_85,31125,128400,15185,63800,1673,73000,1941,24300,1785,29800,
seq_250_86,31125,93300,14456,34900,1684,46400,1992,15000,1768,23500,
seq_250_87,31125,148700,16054,79100,1674,137400,1907,28500,2246,50800,
seq_250_88,31125,169400,16621,89200,1691,275800,2110,29100,2093,37200,
seq_250_89,31125,135000,16286,47900,1669,43700,1965,15500,1800,29600,
seq_250_90,31125,150100,15385,100700,1676,66300,1918,21000,2218,50900,
seq_250_91,31125,155800,14979,37100,1685,44600,2028,15800,1851,24200,
seq_250_92,31125,131500,15430,64000,1681,68800,1965,19700,1810,40400,
seq_250_93,31125,168100,16312,67500,1684,85200,2105,29100,2396,32100,
seq_250_94,31125,174300,16047,51900,1689,79200,1769,19300,1803,24600,
seq_250_95,31125,97700,15343,46000,1678,49400,2221,14100,2294,23700,
seq_250_96,31125,116600,15931,38100,1688,58100,2311,18100,1772,23800,
seq_250_97,31125,190800,16461,65300,1679,61600,2108,19700,1924,31800,
seq_250_98,31125,111400,14936,35300,1676,42800,2499,15100,1793,23200,
seq_250_99,31125,152700,15973,49000,1669,60900,1957,15800,1886,43800,
seq_300_0,44850,209700,22373,56500,2090,53900,2642,18700,2505,31500,
seq_300_1,44850,229600,23113,129600,2122,54600,2405,22300,2241,38100,
seq_300_2,44850,219500,20723,73800,2108,53700,2616,18700,2246,34600,
seq_300_3,44850,155900,22605,90500,2109,123800,3052,21800,2522,77100,
seq_300_4,44850,235400,22846,77900,2093,73700,2536,24600,2133,36400,
seq_300_5,44850,238100,23420,92200,2099,64700,2510,19400,2499,33700,
seq_300_6,44850,162900,22584,96100,2094,84200,2503,26800,2489,44200,
